,quote,author,category
398271,Children are remarkable for their intelligence and ardour  for their curiosity  their intolerance of shams  the clarity and ruthlessness of their vision.,Aldous Huxley,"children, childhood"
217456,"Because life is short. I feel we’re made of a hunger, a desire for life – if that can be described as a material. As I get older, I’m trying to open that channel more. If you don’t, if you close off desire and get complacent, life loses its freshness and sweetness, and that’s what I crave. That’s my bliss.",Sarah Slean,"bliss, desire, life"
223095,"If you don't have any feelings for Will Darcy, why are you blushing and fixing your hair?","Elizabeth Eulberg, Prom and Prejudice","charlotte, darcy, humorous, lizzie"
306513,"If you aren't in the moment, you are either looking forward to uncertainty, or back to pain and regret.",Jim Carrey,"forward, pain, regret"
449441,What's the use of happiness? It can't buy you money.,Henny Youngman,"Money, You, Buy "
425477,"In business, the competition will bite you if you keep running, if you stand still, they will swallow you.",Victor Kiam,"Competition, Stand, You "
425509,"Having haters is just a part of the business, and the more haters you have, the more people like you - that's how I view it, because I try to see the positive in things.",Nick Jonas,"Positive, People, View "
391572,I don't think a tough question is disrespectful.,Helen Thomas,journalism
115777,"Call on God at all times, even in times of trouble.",Lailah Gifty Akita,"christian, god, praying, self-help"
364426,"If I could write the beauty of your eyesAnd in fresh numbers number all your graces,The age to come would say 'this poet lies! Such heaven never touched earthly faces",William Shakespeare,"poetry, shakespeare, sonnet-17"
114688,"Some of the 'New Women' writers will some day start an idea that men and women should be allowed to see each other asleep before proposing or accepting. But I suppose the New Woman won't condescend in future to accept; she will do the proposing herself. And a nice job she will make of it, too!","Bram Stoker, Dracula","feminism, marriage"
161164,"We are all creative, from the mother adding an extra pinch of garlic to her meal, to the entrepreneur launching a brand new product, to the business consultant who creates a more effective way for corporate departments to communicate. The call requires creativity.","Shannon Tanner, Worthy: The POWER of Wholeness","creativity, the-call"
481290,Not everybody is comfortable with the idea that politics is a guilty addiction. But it is.,Hunter S. Thompson,"Addiction, Guilty, Idea "
33677,From the moment I saw her I knew this onewas worththebroken heart.,"Atticus Poetry, Love Her Wild: Poems","atticus, atticus-poetry, atticuspoetry, her, instagram, love, love-her-wild, poems, poetry, quotes, wild"
309626,"What if, instead of being afraid of even talking about death, we saw our lives in some ways as preparation for it.What if we were taught to ponder it and reflect on it and talk about it and enter it and rehearse it and try it on?What if, rather than being cast out and defined by some terminal category, you were identified as someone in the middle of a transformation that could deepen your soul, open your heart, and all the while-even if and particularly when you were dying-you would be supported by and be part of a community?","Eve Ensler, In the Body of the World",memoir
385674,"He had to do so many things and make each appear as though it were the only thing he had to do. He had to compartmentalize everything, when on one task to pretend that the others didn't exist.","Tom Clancy, Debt of Honor","attention, inspiration, leadership, prioritization"
340450,"It is coincidence, I decide, and I am getting old and batty, thinking the universe revolves around me.","Katherine Dunn, Geek Love","aging, getting-old"
302956,"If there is no way to compel those who find a majority decision distasteful to go along with it, then the last thing one would want to do is to hold a vote: a public contest which someone will be seen to lose. Voting would be the most likely means to guarantee humiliations, resentments, hatreds, in the end, the destruction of communities. What is seen as an elaborate and difficult process of finding consensus is, in fact, a long process of making sure no one walks away feeling that their views have been totally ignored.","David Graeber, Fragments of an Anarchist Anthropology","consensus, democracy, voting"
282081,You can't get attention of one who focused on himself.,"Toba Beta, Master of Stupidity","attention, center, focus"
397495,The inexorable boredom that is at the core of life.,Jacques-Binigne Bossuet,"bores, boredom"
449213,"Happiness doesn't come from being rich, nor merely from being successful in your career, nor by self-indulgence. One step towards happiness is to make yourself healthy and strong while you are a boy so that you can be useful and so you can enjoy life when you are a man.",Robert Baden-Powell,"Life, Strong, Man "
177217,"Just as there are two sides to every story, there are two sides to every person. One that we reveal to the world and another we keep hidden inside. A duality governed by the balance of light and darkness. Within each of us is the capacity for both good and evil. But those of us who are able to blur the moral dividing line hold the true power.",Emily Thorne,"dark, evil, good, light, moral, person, revenge-tv-series, sides, story"
276038,"Come back to me, Tessa. Henry said that perhaps, since you had touched the soul of an angel, that you dream of Heaven now, of fields of angels and flowers of fire. Perhaps you are happy in those dreams. But I ask this out of pure selfishness. Come back to me. For I cannot bear to lose all my heart.","Cassandra Clare, Clockwork Princess","cassandra-clare, clockwork-princess, heaven, page-479, tessa-gray, will-herondale"
391430,"State your point. If the opposite party doesn't agree, state it harder- with a punch.",Jennifer  Bernard,"humour, witty"
251298,"During childhood, it’s about trying to help develop who your kid’s going to be. During adolescence, it’s about responding to who your kid wants to be.",Jennifer Senior,"adolescence, childhood, davila, parenting"
66854,"BEFRIENDING THE BODY Trauma victims cannot recover until they become familiar with and befriend the sensations in their bodies. Being frightened means that you live in a body that is always on guard. Angry people live in angry bodies. The bodies of child-abuse victims are tense and defensive until they find a way to relax and feel safe. In order to change, people need to become aware of their sensations and the way that their bodies interact with the world around them. Physical self-awareness is the first step in releasing the tyranny of the past.In my practice I begin the process by helping my patients to first notice and then describe the feelings in their bodies—not emotions such as anger or anxiety or fear but the physical sensations beneath the emotions: pressure, heat, muscular tension, tingling, caving in, feeling hollow, and so on. I also work on identifying the sensations associated with relaxation or pleasure. I help them become aware of their breath, their gestures and movements.All too often, however, drugs such as Abilify, Zyprexa, and Seroquel, are prescribed instead of teaching people the skills to deal with such distressing physical reactions. Of course, medications only blunt sensations and do nothing to resolve them or transform them from toxic agents into allies. The mind needs to be reeducated to feel physical sensations, and the body needs to be helped to tolerate and enjoy the comforts of touch. Individuals who lack emotional awareness are able, with practice, to connect their physical sensations to psychological events. Then they can slowly reconnect with themselves.","Bessel A. van der Kolk, The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma","angeranger, awareness, body, emotions, fear, mind, mind-body-spirit, mindfulnessmindfulness, psychology, ptsd, recovery, touch, trauma, victims"
46316,"Stupidity is brief and guileless, while wit equivocates and hides. Wit is a scoundrel, while stupidity is honest and sincere.","Fyodor Dostoyevsky, The Brothers Karamazov","honesty, knowledge, stupidity, wit"
330646,"I thought Beauty and the Beast were two people, not one.","Meryl Sawyer, Half Moon Bay","key-west-florida, romantic-suspense"
269336,"From mistakes you get experience, from experiments you get again expirience and there are a lot of out there positive and negative stuff which if you done you get experience. And that' experience is like in the games you are better and you are skilled person... So what would you do know? Choose experience or not?",Deyth Banger,"experiments, get, mistake, mistkaes, negative, positive, stuff"
318124,"What the working man sells is not directly his labour, but his labouring power, the temporary disposal of which he makes over to the capitalist. this is so much the case that I do not know whether by the English Laws, but certainly by some Continental Laws, the maximum time is fixed for which a man is allowed to sell his labouring power. If allowed to do so for any indefinite period whatever, slavery would be immediately restored. Such a sale, if it comprised his lifetime, for example, would make him at once the lifelong slave of his employer.","Karl Marx, Wage-Labour and Capital/Value, Price and Profit","economics, labor-theory-of-value, marxian-economics, marxism, theory"
478504,"Thanks to capitalism, the importance placed on beauty has never been so manipulated. We are the guinea pigs force-fed ads that tell us how pathetic we are: that we will never be loved, happy or valuable unless we have the body, the face, the hair, even the personality that will apparently be ours, if only we buy their products.",Beth Ditto,"Happy, Personality, Hair "
227119,Could an enemy really curse someone? Could the enemy affect reality by the deliberate mental intent of harming?,M.J. Mandoki,"action, adventure"
315820,It would seem that the right to equality and human rights is far more an exclusive thing than an inclusive thing.,"Christina Engela, Black Sunrise","equality, exclusive, human-rights, inclusive"
333052,"seeing with the eyes of another, listening with the ears of another, and feeling with the heart of another.",Alfred Adler,"emotional, empathy, inspirational, passionate"
87782,"Once a woman is comfortable in her own skin, living her own life and building a foundation by herself; it takes one heck of a man to make her want to sacrifice her independence.",Nikki Rowe,"free-spirit, independence, independent, inner-strength, strong-woman, wild-woman, womanhood, women, women-quotes"
59582,"I've taken care of it,"" I saidMy father looked at me, shocked.Then I realized ""taken care of"" had a very specific meaning in his line of work.""No, no, I mean he's gone.",Gordon Korman,funny
327467,"We're not obsessed by anything, you see,"" insisted Ford.""...""""And that's the deciding factor. We can't win against obsession. They care, we don't. They win.""""I care about lots of things,"" said Slartibartfast, his voice trembling partly with annoyance, but partly also with uncertainty.""Such as?""""Well,"" said the old man, ""life, the Universe. Everything, really. Fjords.""""Would you die for them?""""Fjords?"" blinked Slartibartfast in surprise. ""No.""""Well then.""""Wouldn't see the point, to be honest.",Douglas Adams,"douglas-adams, irony, sci-fi"
120128,Bringing countries together above their conflicts require great minds and great hearts.,"Amit Ray, Peace on the Earth  A Nuclear Weapons Free World","bringing-together, conflict, conflicts, great-heart, great-mind, heart, heart-and-head, heart-and-soul, international-community, international-conflict, international-relations, world-peace"
154331,"Unprovoked hostility is often but displaced self-defense: 'I must stop him before he stops me.' In many of such environments, nobody is really hateful so much as they are just fearful.","Criss Jami, Healology","anger, chaos, cognition, crime, danger, distrust, environment, fear, fearful, fearless, fearlessness, hate, hostility, jail, poverty, prison, psychology, self-defense, trust"
279807,"Concentration is not wholesome in itself. A thief needs concentration to break into a house.The object of our concentration is what makes it beneficial or not. If you use meditative concentration to run away from reality, that is not beneficial.","Thich Nhat Hanh, The Heart of the Buddha's Teaching: Transforming Suffering into Peace, Joy, and Liberation",mindfulness
190490,Let me be the type man who plants a field of flowers so you can be the type of woman who picks them.,"A.J. Compton, The Counting-Downers","flowers, love, men, romance, romantic, women"
184916,My life has become a dismal sigh fettered by pangs of grief and anguished weeping.,"Richelle E. Goodrich, Smile Anyway","defeat, discouragement, giving-up, grief, hopelessness, resignation, richelle, richelle-goodrich, unhappiness, weeping"
194474,"Never step on caterpillars, as one day, they'll become butterflies and you'll never know when you'll need a ride on its wings of fortune.",R.P. Falconer,"humility, inspirational-life, life-lessons"
440812,"I know I'm not a self-indulgent idiot; I also know I'm not the second coming of Deepak Chopra. If I had believed either of those, or both, as some people do when they get famous, that's when the mental illness arrives.",Elizabeth Gilbert,"People, Know, Mental Illness "
170764,"By the time it has gotten dressed, it has become he; has become already more or less George — though still not the whole George they demand and are prepared to recognize. Those who call him on the phone at this hour of the morning would be bewildered, maybe even scared, if they could realize what this three-quarters-human thing is what they are talking to. But, of course, they never could—its voice's mimicry of their George is nearly perfect.","Christopher Isherwood, A Single Man",depression
154066,Society reproduces itself antagonistically.,Rudolf J. Siebert,"inspirational, marxism, psychology, sociology"
304112,Our greatest responsibility is to be good ancestors.,Dr. Jonas Salk,"humanitarian, inspirational, responsibility"
85347,"A peace that blacked yer eye,' I say. 'A peace that split yer lip.' He looks at me for another second and then gives a sad snort. “The words of a sage,” he says, “in the voice of a hick.","Patrick Ness, The Ask and the Answer","chaos-walking, patrick-ness, peace, politics, the-ask-and-the-answer, todd-hewitt"
24148,"As contraries are known by contraries, so is the delights of presence best known by the torments of absence.",Alcibiades,"contraries, contrary, delight, delights, happiness, happy, opposite, opposites"
220127,"[When asked for her advice to aspiring writers] Run! Just kidding. Sort of. Really, I think the best advice I can give is to wait for the book that compels you to write it-- the one that you eat, sleep, and breathe. If you try to force yourself to create an epic story, you will feel the ensuing drudgery quite acutely-- and worse, your readers will feel it too. Conversely, if you wait for the book that won't leave you alone until you finish it, your readers will feel that energy and it will make it difficult for them to put the book down until they have finished it!",Kealohilani,"advice, advice-for-writers, creative-process, humor, inspirational, writing, writing-process"
174652,"Without setbacks and mistakes, no experience. Without experience, no learning. And without learning, you’ll never truly understand the awakening of your heart’s desires.","Robbie Vorhaus, One Less. One More.","awakening, experience, heart-s-desire, learning, mistakes, setbacks"
100817,It is not worth having a burden about money. One breathes a sigh of relief when he deposits money in the bank but becomes unhappy when the money is gone. There is nothing in this world worth being relieved about because it is all temporary.,Dada Bhagwan,"money, sigh-of-relief, spiritual, spiritual-quotes, temporary, unhappy, world"
187408,Unlike world I use my notebook from both side.,Singh Rajiv,life-philosophy
57321,"The years passed like the steps of a staircase leading lower and lower. I did not walk any more in the sun or hear the songs of larks like crystal fountains playing against the sky. No hand enfolded mine in the warm clasp of love. My thoughts were again solitary, disintegrate, disharmonious – the music gone. I lived alone in a few pleasant rooms, feeling my life run out aimlessly with the tedious hours: the life of an old maid ran out of my fingertips.","Anna Kavan, Asylum Piece","aimless, alone, disharmonious, disintegrate, loneliness, solitary, tedious, time"
228751,The Bible says more about hell than about heaven.,"Billy Graham, Billy Graham in Quotes","billy-graham, hell"
340351,"I think this man is a bit crazy, but aren’t we all a little crazy anyway?","Mehmet Murat ildan, William Shakespeare",mehmet-murat-ildan-quotes
371656,He showed videotape of himself committing acts of self-violence and informing news crews that he had been assaulted by a marauding mob of irate art historians.,"Johnny Rich, The Human Script","art-history, artists"
90437,"Brushing the clouds away from my eyes, I see clarity in the raindrop and beauty in the first ray of morning sun...Life is strange and wondrous...",Virginia Alison,"beauty, clarity, clouds, life, rain, raindrops"
454014,I get stubborn and dig in when people tell me I can't do something and I think I can. It goes back to my childhood when I had problems in school because I have a learning disability.,Ann Bancroft,"School, Childhood "
275159,"If home isn't a place, what is it?''A feeling.","Julianna Baggott, Fuse",home
180681,"Walking on the path I met my Master, known by a million names in different cultures and places yet people have forgotten the way to HIM.",Maitreya Rudrabhayananda,"culture, god, master, paths, paths-of-life, spiritual-insights, spiritual-quotes, walking"
353551,"I stared at the spot where [the ghost of] Warwick's nephew had warned me never to tell anyone what I could do, and then I slid my hand into Jacob's and pulled him close. He slipped his other arm around me and held me. I kissed him, and tried to clear my mind of everything but him and me. I looked deep into his eyes, and tried to determine if I was ready to let him in on the one thing I'd been carrying with me since my first round of psychic testing. He started back at me like a man who'd fallen for me, hard. And that part inside, the one that usually tells me to run, or to shut up, or to play along and myself invisible and hopefully whatever I'm dealing with will just go away? That part of me said, /Yes. Tell him./""I've got more talent than everyone on their payroll put together,"" I said. Jacob squeezed me tighter. His eyes never moved from mine. ""I'm so far beyond level five it's not even funny","Jordan Castillo Price, Camp Hell","gay-romance, jacob-marks, m-m, psycop, urban-fantasy, victor-bayne"
69658,I put on the boots and kicked some monster ass.,"Jim Butcher, Summer Knight","karrin-murphy, motivation"
275514,The awareness of the ambiguity of one's highest achievements - as well as one's deepest failures - is a definite symptom of maturity.,Paul Tillich,"ambiguity, awareness, maturity"
246708,Some people that are in charge are usually less intelligent than the people who work under them. The reason why those people are in charge and you aren’t is because you have a conscience.,"Heather Chapple, Write like no one is reading","bosses, careers, conscience, ethical, ethics, facts, jobs, morality, rat-race, unintelligent, wisdom, work"
156362,"It was then I truly realised the whale is no more a fish than I am. So much blood. This was not like the fish on the quay, fresh caught, lying flipping and flopping, death on a simmer. This was a fierce, boiling death. She died thrashing blindly in a slick of gore, full of pain and fury, gnashing her jaws, beating her tail, spewing lumps of slime and half-digested fish that fell stinking about us. It was vile. So much strength dies slowly.","Carol Birch, Jamrach's Menagerie","death, pain, strength, whales"
347004,"Fortunate, most fortunate occurrence! — fortunate for the millions of his manacled brethren, yet panting for deliverance from their awful thralldom! — fortunate for the cause of negro emancipation, and of universal liberty! — fortunate for the land of his birth, which he has already done so much to save and bless! — fortunate for a large circle of friends and acquaintances, whose sympathy and affection he has strongly secured by the many sufferings he has endured, by his virtuous traits of character, by his ever-abiding remembrance of those who are in bonds, as being bound with them! — fortunate for the multitudes, in various parts of our republic, whose minds he has enlightened on the subject of slavery, and who have been melted to tears by his pathos, or roused to virtuous indignation by his stirring eloquence against the enslavers of men! — fortunate for himself, as it at once brought him into the field of public usefulness, ""gave the world assurance of a MAN,"" quickened the slumbering energies of his soul, and consecrated him to the great work of breaking the rod of the oppressor, and letting the oppressed go free!","William Lloyd Garrison, Narrative of the Life of Frederick Douglass","1849, frederick-douglass, preface, slavery"
229176,Grace is a great mercy of God.,Lailah Gifty Akita,"god, grace, mercy"
499597,"All cities do face similar, significant trends in the future... most importantly global warming and climate change.",Cate Blanchett,"Change, Global Warming "
219118,"When it came to watching television, Ted was ambidextrous.","Judy Penz Sheluk, The Whole She-Bang 2","crime-fiction, mystery, mystery-anthology"
252888,"We'd better eat before we raise hell."" - Aelin Ashrvyer Galathynius","Sarah J. Maas, Empire of Storms","aelin-ashryver-galathynius, eat, empire-of-storms, eos, food, hell, meal, raise-hell, sarah-j-maas, throne-of-glass, tog"
43782,"Your way of life is sinful and wrong,"" he said fiercely.Thus says a man who admits to worshipping a God who vilifies pleasure, relegates women to roles that are little more than servants and broodmares, though they are the backbone of your church, and seeks to control his worshippers through guilt and fear.","P.C. Cast, Betrayed","organized-religion, religion"
71042,"Three essential virtues are patient, loyalty and kindness.","Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","deeds, faith, hope, inspirational, kind-deeds, loyal, motivation, patient, philosophy, wisdom"
462213,"I've always found that once you're in the door of a place and you have the chance to show how you operate and how talented you are, then anything can happen.",Nancy Gibbs,"Door, You, Place "
212597,All the higher values in life get redefined on a regular basis for good, there is no static meaning as such.,Harshit Walia
293371,Values reflect what is important to the way you live and work.,Glenn C. Stewart,"live-and-work, values, values-in-life, work"
55123,When we have faith and discipline everything becomes easier. Patience is the mother of all virtues. With anxiety all our lives become worse.,Chico Xavier,"inspirational, life-lessons"
10943,As soon as a religion comes to dominate it has as its opponents all those who would have been its first disciples. ,"Friedrich Nietzsche, Human, All Too Human","philosophy, religion"
9856,"Normal"" is just a setting on your dryer.",Patsy Clairmont,"funny, humor"
426388,"My attitude is never to be satisfied, never enough, never.",Duke Ellington,"Leadership, Enough, Never "
249443,There is no greater path than the act of listening.,"Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life","effort, greatness, journey, listening"
210520,"Perhaps when we find ourselves wanting everything, it is because we are dangerously close to wanting nothing.",Sylvia Plath,goals
453036,"I have at last admitted that not only was I angry with my mother, but, in fact, I wanted to destroy her as a child. And I was so concerned to be a woman who was different from my mother that I had this vast architecture of rules.",Kathryn Harrison,"Mother, Woman, Child "
247802,...every time I look at you autumn leaves come in between - does it matter they're the color of your hair - or they still fall in my memory?...,"John Geddes, A Familiar Rain","autumn-leaves, hair-color, love, memories"
498884,"A kid is something precious, and you want to protect it and keep it fun. I'm not a dad, but I've seen people and how they behave with their kids.",Jason Statham,"Fun, People, Want "
318479,People fascinated by the idea of progress never suspect that every step forward is also a step on the way to the end and that behind all the joyous 'onward and upward' slogans lurks the lascivious voice of death urging us to make haste.,"Milan Kundera, The Book of Laughter and Forgetting","death, progress"
25504,Happiness is the primary goal of human existence.,Joey Lawsin,"existence, goal, happiness, human-nature"
258992,"When Jesus put on flesh, He made human existence “sacred.” Thus, when you are inhabited by Jesus through His Holy Spirit, your life takes on the “sacred” characteristic as well. This does not mean that you become God or incapable of sinning like Jesus was in His incarnation. However, it does mean that something is qualitatively different about you at the core.","Adam L. Feldman, Journaling: Catalyzing Spiritual Growth Through Reflection","christianity, faith, journaling, spiritual-formation, spiritual-growth"
156547,"Look, I am living. On what? Neither childhood nor futurelessens . . . . Superabundant existencewells in my heart.","Rainer Maria Rilke, Duino Elegies","childhood, existence, future, living"
74873,"Someone once said: ""We do not make friends, we recognize them."" And you'll know who they are because they play according to the same rules that you do.","Ken Niimura, Gotham Academy #16","friends, friendship"
362731,"But you should see the sky tonight.Screw your astrology apps. Screw your games. Look up sometime. There is a whole wing of positive psychology--my therapist told me--that says the greatest way to affect your outlook on life is to consider what you already have more than what you don't have. And so I might not have a cell phone on me, or a sister at home, or a Dad at all, or a future, but holy shit I have the sky.","Tim Federle, The Great American Whatever","inspirational, sky"
487760,"The culture is going into a psychological depression. We are concerned about our place in the world, about being competitive: Will my children have as much as I have? Will I ever own my own home? How can I pay for a new car? Are immigrants taking away my white world?",James Hillman,"Children, Home, Culture "
336063,"He's looking at me intensely now like he can read my mind. Which of course, he can. Maybe I'm an open book, or maybe love is like a magnifying glass straight into the souls of those who own your heart.",Mia Sheridan,"happens, leo, love, sweet, true"
65645,To talk [negatively] about someone specific is considered slander. You need to have a general understanding about things. Slandering someone is a sign of going to a lower life form in the next birth.,Dada Bhagwan,"life, new-birth, slander, spiritual-quotes, spirituality"
133131,"Fuck,” said Bernie. “Fuckwinky eyeballhead.” “No, Bernie. We don’t use those words.” “Which words?” “You know which words.” “You used them, Daddy.” “I made a mistake. I am sorry I said that word. It isn’t helping with our problem.” “What’s our problem?” “There may be no school today.” “That’s okay,” said Bernie. “It’ll be okay.” We weren’t sure where he had picked up that becalming phrase, probably from us, as we tried to talk ourselves out of the awful lucidity certain days afforded. The whole mirthless dwindle of things would suddenly pull into focus, the crabbed, moneyless exhaustion that stood in for our lives, and Maura and I would both start the chatter, the cheap pep: It’s okay, it’s going to be okay, we’ll get through this. When Bernie repeated these bromides, he sounded seventy years old. It broke your heart, as did about forty-three percent of the things Bernie said and did. About twenty-seven percent of the things he said and did made you want to scream and banish him to his childproofed room, or do much more heinous and ingenious things, just so he’d get the point, whatever the point could be with an almost-four-year-old, but still, to bury him alive and then save him at the last minute, or tell him that the state had passed a law against ice cream and he would go to prison if he even thought about it, because they now had the technology to detect illegal mint-chocolate-chip cogitation, had, in fact, the chips for it, seemed, if not conducive to his development, at least on some level deserved. Thirty percent of what Bernie said and did was either on the bubble or else utterly inscrutable, just the jolts and stutters of a factory-fresh brain working out the kinks.","Sam Lipsyte, The Ask",quote
48402,Success may require a lot of days. But progress only requires one.,T. Jay Taylor,"acheivement, business, goals, improvement, perspective, practice, progress, sports, success, training"
77907,"The militancy of men, through all the centuries, has drenched the world with blood, and for these deeds of horror and destruction men have been rewarded with monuments, with great songs and epics.","Emmeline Pankhurst, My Own Story","feminism, gender, suffrage, suffragette, war"
229960,"There's a Chinese saying that the fates are winds that blow through our lives from every angle, urging us along the paths of time. Those who are strong-willed may fight the storm and possibly choose their own road, while the weak must go where they are blown. I say I have not been so much pushed by winds as pulled forward by the force of my decisions.","Jean Kwok, Girl in Translation",fate
113328,"Sometimes the greatest pain, is the one we think we can’t control.",Dugald Black,"control, pain"
408949,If the blind lead the blind  both shall fall into the ditch.,Matthew,leadership
56092,"We can go and explore different roads in our future, but the past ones are permanent, just like our greatest memories.",Alexander Georgiev,"life-lessons, life-quotes"
344243,"They knew a lot, the dead. How many times had she said to Harry they were the world’s greatest untapped resource? It was true. All they’d seen, all they’d suffered, all they’d triumphed over – lost to a world in need of wisdom.","Clive Barker, The Scarlet Gospels",dead
42548,Paranormal events are just edges of the infinite we “happen” to encounter.,Doug Dillon,"events, infinity, inspiration, metaphysical, paranormal, supernatural"
389189,"Did it ever occur to you, Charlie, that tolerance can reach a point where it is no longer tolerance? When that happens, the noble-sounding attitude on which most of us pride ourselves degenerates into weakness and acquiescence.","Grace Metalious, Peyton Place",tolerance
126562,Families break up when they get hints you don't intend and miss hints that you do.,Robert Frost,"breakup, family"
159235,Quoting Nguyen Du - Talent and destiny are apt to feud.,"Viet Thanh Nguyen, The Sympathizer","destiny, talent"
360447,I am obsessed with not being obsessed with acquiring material things.,Mokokoma Mokhonoana,"consumerism, materialism, obsession"
337913,"The amazing activity of the cat is delicately balanced by his capacity for relaxation. Every household should contain a cat, not only for decorative and domestic values, but because the cat in quiescence is medicinal to irritable, tense, tortured men and women.",William Lyon Phelps,cats
498097,"I grew up with the understanding that the world I lived in was one where people enjoyed a sort of freedom to communicate with each other in privacy, without it being monitored, without it being measured or analyzed or sort of judged by these shadowy figures or systems, any time they mention anything that travels across public lines.",Edward Snowden,"Time, World, Understanding "
85619,Change is for a purpose not for a person,Dr Karan M Pai,"change, life-quotes"
90185,"Beauty belongs to the sphere of the simple, the ordinary, whilst ugliness is something extraordinary, and there is no question but that every ardent imagination prefers in lubricity, the extraordinary to the commonplace","Marquis de Sade, The 120 Days of Sodom and Other Writings","beauty, extraordinary, ugliness"
229573,"ritual maturity is not defined by how well one applies Biblical principles to “suppress sin”. If you are capable of suppressing your sins or managing them, you would have no need for a Redeemer.",John Paul Warren,"grace, john-paul-warren, pastor-john-paul-warren, the-church-of-south-florida"
449961,"What would there be in a story of happiness? Only what prepares it, only what destroys it can be told.",Andre Gide,"Story, Only, Would "
437236,"If we drive down the cost of transportation in space, we can do great things.",Elon Musk,"Great, Great Things "
337410,Your actions should be so dedicated that no one should have to ask you what you want.,"Steve Maraboli, Life, the Truth, and Being Free","actions, success"
285444,"I was breaking down, wanting to fade away and cry, yet I feared ever being invisible again. My head lowered to conceal my humiliation behind a curtain of hair where I trembled as if sobbing.“Hey, Gwen, it’s okay. It’s okay. Calm down.”I yearned to feel Daniel’s soft touch meet my temple and then trace along my ear, brushing back the hairs from my face. What I wanted was the comfort his caress always afforded me. He moved as if he would grant my wish, realizing at the last moment that neither of us possessed the power to touch the other.“Your hair, Gwen.”I refused to do what he wanted. I didn’t care for him to see the shame plainly visible in my features. But the next thing I knew, his blue eyes were staring up at me from the ground, a glare reflecting off his glasses. The guy had dropped his books to fall over for a clear view of my face. His desperation made me laugh.“It’s going to be okay, Gwen, I pro",Richelle E. Goodrich,"daniel, gwen, phantom-s-veil, richelle, richelle-e-goodrich, richelle-goodrich"
144538,infinite faith and strength are the only conditions of success.,"Swami Vivekananda, Complete Works of Swami Vivekananda 8 Vol. set",wisdom-quotes
212015,"Love yourself enough to open your eyes, and open your eyes enough to love yourself.",Jay Woodman,"eyes, love, self"
466588,"I think the most important leadership lessons I've learned have to do with understanding the context in which you are leading. Universities are places with enormously distributed authority and many different sorts of constituencies, all of whom have a stake in that institution.",Drew Gilpin Faust,"Understanding, Think, You "
405659,Few are they who have never had the chance to achieve happiness ... and fewer those who have taken that chance.,Andre Maurois,happiness
140591,"If you’re still waiting for it, it mean you’re not yet ready for it…whatever “it” is…so stop looking at waiting as a punishment and start looking at it as preparation!","Mandy Hale, The Single Woman: Life, Love, and a Dash of Sass","bigger-picture, faith, keeping-the-faith, positive-thinking, preparation, punishment, seasons-of-life, seasons-of-waiting, trust, trust-the-process, trusting-your-journey, wait, waiting"
376020,"The great secret in salam is it brings love, tranquility and peace to the person receiving the greeting.",Habib Kadhim al-Saqqaf,"love, peace, salams, secret, tranquility"
399912,Men use one another to assure their personal victory over death.,Ernest Becker,"death, dying"
338226,"She's a skilled and swift fight, and I know she'll pass on her training on to you.","Erin Hunter, The Forgotten Warrior","cats, firestar, warriors"
322420,"Reed wanted to believe, and he had to place faith in her, to have a life with her. “Ruby, the one thing I know for certain is I love you. I have faith in you. I believe in you.","D.F.   Jones, Ruby's Choice","coming-of-age-stories, prophetic-dreams, romance-novels"
264844,"From this simplest necessity to the highest religious abstraction, from the wheel to the skyscraper, everything we are and everything we have comes from a single attribute of man—the function of his reasoning mind.","Ayn Rand, The Fountainhead",atheism
393234,Where is your angel now?,"Cassandra Clare, Clockwork Angel","angel, mrs-dark"
75900,Grandparents are extremely rich folks with silver in their hair and gold in their hearts.,Mamur Mustapha,"blessings, grandparents, joy, life, love, patience, people, rich, understanding, wisdom"
236003,"There are ten abilities, but no one has more than one—except me. I’m different that way. I have…more.”“You mean you have all ten.”I shrug my shoulders and nod. “And you say you’re different, huh?”“I am. I’m the only one—at least the first one,” I add, remembering what Sir Theo suggested about me being a more evolved species. A smile drifts to my mouth but fades when I notice Max staring at me with such disinterest that I become embarrassed.“I see. So is it just you who likes to think you’re special or all the teens in your world?”“What is that supposed to mean?”“Forget it. I guess I’m just trying to figure you out.","Quoleena Sbrocca, Rayne: OuterSphere","dystopian, futuristic, science-fiction"
149345,Faction is that hybrid of documented fact and novelistic elaboration.,Norman Mailer,"fiction, novels, truth"
362929,"No, he is not vicious, nor is he in the least demented. His mind is a wonder chamber, from which he can extract treasures that you and I would give years of our life to acquire.","Robert W. Chambers, The Yellow King: The Complete Collection","crazy, crazyness, robert-chambers, terror"
228383,"When we approach the Bible as history and biography, we approach the Bible in the wrong spirit. We must read the Bible, not primarily as historians seeking information, but as men and women seeking God.","Billy Graham, Billy Graham in Quotes","bible, billy-graham"
91208,Open your heart to the wonder of life simply by opening your heart.,Toni Sorenson,"beauty, inspiration, life, love, wonder"
